SymbolId,CurrentTime,Index,DayPatternId,DayPatternValue
AAPL,20250717 00:00:00.000000,0,YGD,False
AAPL,20250717 00:00:00.000000,0,YGD2,False
AAPL,20250717 00:00:00.000000,0,YRD,True
AAPL,20250717 00:00:00.000000,0,YRD2,True
AAPL,20250717 00:00:00.000000,0,SSR2,False
AAPL,20250717 00:00:00.000000,0,NR4,False
AAPL,20250717 00:00:00.000000,0,NR5,False
AAPL,20250717 00:00:00.000000,0,NR6,False
AAPL,20250717 00:00:00.000000,0,NR7,False
AAPL,20250717 00:00:00.000000,0,SGUS_ND,False
AAPL,20250717 00:00:00.000000,0,SGUS,False
AAPL,20250717 00:00:00.000000,0,NGUS,False
AAPL,20250717 00:00:00.000000,0,SSR1,False
AAPL,20250717 00:00:00.000000,0,GUS_21D_NR61,False
AAPL,20250717 00:00:00.000000,0,YRD_AH,True
AAPL,20250717 00:00:00.000000,0,YRD_GpDn_BL,False
AAPL,20250717 00:00:00.000000,0,RRG,False
AAPL,20250717 00:00:00.000000,0,RRGG,False
AAPL,20250717 00:00:00.000000,0,GpUp_PD123,True
AAPL,20250717 00:00:00.000000,0,GpUp_PD123_B_H,True
